Training: 2024-09-20 15:52:20,370-rank_id: 0
Training: 2024-09-20 15:56:44,197-Speed 253.66 samples/sec   Loss 6.6107   ReconLoss 0.1944  LearningRate 0.007990   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:56:54,734-Speed 251.63 samples/sec   Loss 6.4421   ReconLoss 0.1975  LearningRate 0.007989   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:57:05,263-Speed 252.02 samples/sec   Loss 7.3406   ReconLoss 0.1908  LearningRate 0.007989   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:57:15,774-Speed 252.42 samples/sec   Loss 6.8096   ReconLoss 0.1971  LearningRate 0.007988   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:57:26,259-Speed 252.85 samples/sec   Loss 7.1429   ReconLoss 0.1955  LearningRate 0.007988   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:57:36,819-Speed 250.81 samples/sec   Loss 6.8227   ReconLoss 0.1965  LearningRate 0.007987   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:57:47,387-Speed 250.71 samples/sec   Loss 6.8493   ReconLoss 0.1891  LearningRate 0.007987   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:57:57,911-Speed 251.99 samples/sec   Loss 6.9722   ReconLoss 0.1794  LearningRate 0.007986   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 32768   Required: 48 hours
Training: 2024-09-20 15:58:08,453-Speed 251.64 samples/sec   Loss 6.6895   ReconLoss 0.1833  LearningRate 0.007986   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:58:19,042-Speed 250.15 samples/sec   Loss 7.4528   ReconLoss 0.1730  LearningRate 0.007985   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:58:29,546-Speed 252.46 samples/sec   Loss 6.8465   ReconLoss 0.1872  LearningRate 0.007985   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:58:40,037-Speed 253.01 samples/sec   Loss 6.8457   ReconLoss 0.1737  LearningRate 0.007984   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:58:50,584-Speed 251.59 samples/sec   Loss 7.3250   ReconLoss 0.1675  LearningRate 0.007984   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:59:01,060-Speed 253.27 samples/sec   Loss 6.2202   ReconLoss 0.1750  LearningRate 0.007983   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:59:11,490-Speed 254.47 samples/sec   Loss 6.7682   ReconLoss 0.1738  LearningRate 0.007983   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:59:21,927-Speed 253.97 samples/sec   Loss 6.4879   ReconLoss 0.1707  LearningRate 0.007982   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:59:32,435-Speed 252.39 samples/sec   Loss 6.6886   ReconLoss 0.1696  LearningRate 0.007982   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:59:42,898-Speed 253.62 samples/sec   Loss 7.4779   ReconLoss 0.1673  LearningRate 0.007981   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 15:59:53,482-Speed 250.39 samples/sec   Loss 6.9307   ReconLoss 0.1715  LearningRate 0.007981   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:00:04,128-Speed 248.82 samples/sec   Loss 6.6468   ReconLoss 0.1657  LearningRate 0.007980   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:00:14,680-Speed 251.34 samples/sec   Loss 6.6054   ReconLoss 0.1704  LearningRate 0.007980   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:00:25,282-Speed 250.28 samples/sec   Loss 6.1602   ReconLoss 0.1618  LearningRate 0.007979   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:00:35,809-Speed 252.32 samples/sec   Loss 7.0873   ReconLoss 0.1682  LearningRate 0.007979   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:00:46,349-Speed 251.78 samples/sec   Loss 7.0395   ReconLoss 0.1643  LearningRate 0.007978   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:00:56,920-Speed 250.65 samples/sec   Loss 6.2858   ReconLoss 0.1752  LearningRate 0.007978   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:01:07,478-Speed 251.46 samples/sec   Loss 7.2917   ReconLoss 0.1608  LearningRate 0.007977   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:01:17,956-Speed 253.31 samples/sec   Loss 6.1869   ReconLoss 0.1595  LearningRate 0.007977   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:01:28,517-Speed 251.17 samples/sec   Loss 8.0847   ReconLoss 0.1719  LearningRate 0.007976   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:01:39,047-Speed 251.83 samples/sec   Loss 7.0262   ReconLoss 0.1617  LearningRate 0.007976   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:01:49,588-Speed 251.50 samples/sec   Loss 6.8994   ReconLoss 0.1554  LearningRate 0.007975   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:02:00,011-Speed 254.40 samples/sec   Loss 6.7972   ReconLoss 0.1598  LearningRate 0.007975   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:02:10,519-Speed 252.27 samples/sec   Loss 6.1823   ReconLoss 0.1636  LearningRate 0.007974   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:02:20,974-Speed 253.68 samples/sec   Loss 6.9818   ReconLoss 0.1571  LearningRate 0.007974   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 65536   Required: 48 hours
Training: 2024-09-20 16:02:31,555-Speed 250.73 samples/sec   Loss 7.4614   ReconLoss 0.1560  LearningRate 0.007973   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:02:42,162-Speed 249.82 samples/sec   Loss 7.6666   ReconLoss 0.1616  LearningRate 0.007973   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:02:52,655-Speed 252.55 samples/sec   Loss 6.4599   ReconLoss 0.1584  LearningRate 0.007972   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:03:03,125-Speed 253.39 samples/sec   Loss 6.6673   ReconLoss 0.1574  LearningRate 0.007972   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:03:13,721-Speed 250.50 samples/sec   Loss 6.7130   ReconLoss 0.1671  LearningRate 0.007971   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:03:24,184-Speed 253.69 samples/sec   Loss 6.9112   ReconLoss 0.1483  LearningRate 0.007971   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:03:34,610-Speed 254.40 samples/sec   Loss 6.3443   ReconLoss 0.1552  LearningRate 0.007970   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:03:45,127-Speed 252.32 samples/sec   Loss 8.0205   ReconLoss 0.1597  LearningRate 0.007970   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:03:55,690-Speed 250.80 samples/sec   Loss 7.0966   ReconLoss 0.1583  LearningRate 0.007969   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:04:06,213-Speed 251.85 samples/sec   Loss 7.6251   ReconLoss 0.1593  LearningRate 0.007969   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:04:16,773-Speed 251.15 samples/sec   Loss 6.3482   ReconLoss 0.1547  LearningRate 0.007968   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:04:27,332-Speed 251.04 samples/sec   Loss 6.9350   ReconLoss 0.1591  LearningRate 0.007968   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:04:37,900-Speed 250.84 samples/sec   Loss 7.0423   ReconLoss 0.1529  LearningRate 0.007967   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:04:48,499-Speed 250.30 samples/sec   Loss 6.5761   ReconLoss 0.1499  LearningRate 0.007967   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:04:59,079-Speed 250.50 samples/sec   Loss 7.7060   ReconLoss 0.1598  LearningRate 0.007966   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:05:09,681-Speed 250.03 samples/sec   Loss 6.7560   ReconLoss 0.1516  LearningRate 0.007966   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:05:20,118-Speed 254.34 samples/sec   Loss 6.5293   ReconLoss 0.1561  LearningRate 0.007965   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:05:30,625-Speed 252.61 samples/sec   Loss 7.0295   ReconLoss 0.1486  LearningRate 0.007965   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:05:41,112-Speed 253.19 samples/sec   Loss 7.5943   ReconLoss 0.1463  LearningRate 0.007964   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:05:51,654-Speed 251.76 samples/sec   Loss 8.0409   ReconLoss 0.1554  LearningRate 0.007964   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:06:02,190-Speed 251.76 samples/sec   Loss 7.1191   ReconLoss 0.1470  LearningRate 0.007963   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:06:12,743-Speed 251.23 samples/sec   Loss 6.6026   ReconLoss 0.1462  LearningRate 0.007963   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:06:23,212-Speed 253.94 samples/sec   Loss 6.2257   ReconLoss 0.1467  LearningRate 0.007962   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:06:33,754-Speed 251.53 samples/sec   Loss 7.3040   ReconLoss 0.1464  LearningRate 0.007962   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:06:44,160-Speed 255.24 samples/sec   Loss 7.8990   ReconLoss 0.1447  LearningRate 0.007961   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:06:54,743-Speed 250.58 samples/sec   Loss 6.8978   ReconLoss 0.1492  LearningRate 0.007961   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:07:05,217-Speed 253.24 samples/sec   Loss 6.2067   ReconLoss 0.1494  LearningRate 0.007960   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:07:15,772-Speed 250.95 samples/sec   Loss 7.4040   ReconLoss 0.1448  LearningRate 0.007960   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:07:26,345-Speed 250.98 samples/sec   Loss 5.9870   ReconLoss 0.1559  LearningRate 0.007959   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:07:36,819-Speed 253.28 samples/sec   Loss 6.8541   ReconLoss 0.1488  LearningRate 0.007959   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:07:47,362-Speed 251.50 samples/sec   Loss 6.6667   ReconLoss 0.1439  LearningRate 0.007958   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:07:57,816-Speed 254.01 samples/sec   Loss 6.3452   ReconLoss 0.1470  LearningRate 0.007958   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:08:08,348-Speed 251.85 samples/sec   Loss 6.6642   ReconLoss 0.1430  LearningRate 0.007957   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:08:18,812-Speed 253.22 samples/sec   Loss 5.7134   ReconLoss 0.1397  LearningRate 0.007957   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:08:29,327-Speed 252.03 samples/sec   Loss 6.7999   ReconLoss 0.1421  LearningRate 0.007957   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:08:39,885-Speed 250.90 samples/sec   Loss 6.2604   ReconLoss 0.1452  LearningRate 0.007956   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:08:50,409-Speed 251.75 samples/sec   Loss 7.1153   ReconLoss 0.1510  LearningRate 0.007956   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:09:01,079-Speed 253.24 samples/sec   Loss 6.3022   ReconLoss 0.1453  LearningRate 0.007955   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:09:11,621-Speed 251.75 samples/sec   Loss 7.6147   ReconLoss 0.1443  LearningRate 0.007955   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:09:22,202-Speed 250.71 samples/sec   Loss 6.8568   ReconLoss 0.1447  LearningRate 0.007954   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:09:32,670-Speed 253.35 samples/sec   Loss 7.8659   ReconLoss 0.1444  LearningRate 0.007954   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:09:43,162-Speed 252.81 samples/sec   Loss 6.5089   ReconLoss 0.1475  LearningRate 0.007953   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:09:53,629-Speed 253.45 samples/sec   Loss 5.7939   ReconLoss 0.1477  LearningRate 0.007953   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:10:04,117-Speed 253.09 samples/sec   Loss 6.8275   ReconLoss 0.1483  LearningRate 0.007952   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:10:14,649-Speed 252.00 samples/sec   Loss 7.5365   ReconLoss 0.1511  LearningRate 0.007952   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:10:25,107-Speed 253.79 samples/sec   Loss 7.8944   ReconLoss 0.1442  LearningRate 0.007951   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:10:35,615-Speed 252.19 samples/sec   Loss 6.6008   ReconLoss 0.1423  LearningRate 0.007951   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:10:46,046-Speed 254.09 samples/sec   Loss 6.8904   ReconLoss 0.1397  LearningRate 0.007950   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:10:56,619-Speed 250.68 samples/sec   Loss 7.2872   ReconLoss 0.1373  LearningRate 0.007950   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:11:07,157-Speed 251.55 samples/sec   Loss 6.5438   ReconLoss 0.1407  LearningRate 0.007949   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:11:17,670-Speed 252.24 samples/sec   Loss 7.3585   ReconLoss 0.1436  LearningRate 0.007949   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:11:28,196-Speed 251.67 samples/sec   Loss 7.5908   ReconLoss 0.1380  LearningRate 0.007948   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:11:38,680-Speed 252.79 samples/sec   Loss 7.4917   ReconLoss 0.1415  LearningRate 0.007948   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:11:49,233-Speed 251.36 samples/sec   Loss 6.3560   ReconLoss 0.1389  LearningRate 0.007947   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:11:59,709-Speed 253.01 samples/sec   Loss 7.4184   ReconLoss 0.1458  LearningRate 0.007947   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:12:10,151-Speed 254.03 samples/sec   Loss 6.8107   ReconLoss 0.1406  LearningRate 0.007946   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:12:20,678-Speed 251.99 samples/sec   Loss 6.5652   ReconLoss 0.1379  LearningRate 0.007946   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:12:31,156-Speed 253.30 samples/sec   Loss 6.7830   ReconLoss 0.1386  LearningRate 0.007945   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:12:41,615-Speed 253.85 samples/sec   Loss 6.3760   ReconLoss 0.1346  LearningRate 0.007945   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:12:52,113-Speed 252.74 samples/sec   Loss 7.5738   ReconLoss 0.1380  LearningRate 0.007944   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:13:02,645-Speed 251.54 samples/sec   Loss 6.5355   ReconLoss 0.1402  LearningRate 0.007944   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 65536   Required: 47 hours
Training: 2024-09-20 16:13:13,180-Speed 251.63 samples/sec   Loss 7.7358   ReconLoss 0.1371  LearningRate 0.007943   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:13:23,701-Speed 252.17 samples/sec   Loss 6.5404   ReconLoss 0.1411  LearningRate 0.007943   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:13:34,062-Speed 256.23 samples/sec   Loss 6.4388   ReconLoss 0.1373  LearningRate 0.007942   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:13:44,511-Speed 254.11 samples/sec   Loss 7.5439   ReconLoss 0.1399  LearningRate 0.007942   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:13:54,941-Speed 254.35 samples/sec   Loss 6.7895   ReconLoss 0.1366  LearningRate 0.007941   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 32768   Required: 47 hours
Training: 2024-09-20 16:14:05,473-Speed 251.65 samples/sec   Loss 6.6469   ReconLoss 0.1354  LearningRate 0.007941   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 32768   Required: 47 hours
